ID,Order ID,Order Date,Ship Date,Shipping Method,Customer ID,Product ID,Quantity,Sales,Profit,Shipping Cost
12037,2014-40922,1/14/2014 0:00,1/16/2014 0:00,2 Day,CS-122501,SP-T-3058,6,143.94,28.788,12.0758
12038,2014-40922,1/14/2014 0:00,1/16/2014 0:00,2 Day,CS-122501,AP-M-3748,6,71.94,28.776,7.0358
12039,2014-40922,1/14/2014 0:00,1/16/2014 0:00,2 Day,CS-122501,SP-K-2906,3,74.97,29.988,7.2479
12040,2014-40922,1/14/2014 0:00,1/16/2014 0:00,2 Day,CS-122501,SP-F-3158,2,57.98,17.394,6.0586
12041,2014-40922,1/14/2014 0:00,1/16/2014 0:00,2 Day,CS-122501,SP-F-3184,3,86.97,26.091,8.0879
12045,2014-40923,1/15/2014 0:00,1/16/2014 0:00,First Class,SS-115901,FW-H-3177,4,183.96,55.188,11.198
12051,2014-40927,1/19/2014 0:00,1/22/2014 0:00,2 Day,WW-131951,SP-B-3974,4,83.96,20.99,7.8772
12076,2014-40935,1/27/2014 0:00,1/30/2014 0:00,First Class,EA-119651,FW-H-3643,2,85.98,25.794,6.299
12077,2014-40935,1/27/2014 0:00,1/30/2014 0:00,First Class,EA-119651,SP-K-6098,2,31.98,12.792,3.599
12098,2014-40944,2/5/2014 0:00,2/9/2014 0:00,Standard,CB-132701,SP-S-3159,4,95.96,47.98,5.8384
12099,2014-40944,2/5/2014 0:00,2/9/2014 0:00,Standard,CB-132701,SP-K-2849,3,71.97,28.788,4.8788
12105,2014-40947,2/8/2014 0:00,2/11/2014 0:00,2 Day,CS-122501,SP-T-2922,4,95.96,19.192,8.7172
12108,2014-40951,2/12/2014 0:00,2/16/2014 0:00,2 Day,WA-147251,FW-Y-5171,3,26.97,16.182,3.8879
12109,2014-40951,2/12/2014 0:00,2/16/2014 0:00,2 Day,WA-147251,FW-S-4411,1,13.99,6.995,2.9793
12110,2014-40951,2/12/2014 0:00,2/16/2014 0:00,2 Day,WA-147251,SP-T-3361,2,49.98,9.996,5.4986
12111,2014-40951,2/12/2014 0:00,2/16/2014 0:00,2 Day,WA-147251,SP-K-6098,3,47.97,19.188,5.3579
12112,2014-40951,2/12/2014 0:00,2/16/2014 0:00,2 Day,WA-147251,SP-K-6098,2,31.98,12.792,4.2386
12113,2014-40951,2/12/2014 0:00,2/16/2014 0:00,2 Day,WA-147251,SP-F-3202,3,92.97,27.891,8.5079
12126,2014-40958,2/19/2014 0:00,2/25/2014 0:00,Standard,CB-100151,SP-T-3078,2,49.98,9.996,3.9992
12130,2014-40960,2/21/2014 0:00,2/25/2014 0:00,Standard,CR-207401,SP-S-6604,2,33.98,16.99,3.3592
12152,2014-40970,3/2/2014 0:00,3/7/2014 0:00,Standard,SP-107201,SP-K-2923,3,74.97,29.988,4.9988
12153,2014-40970,3/2/2014 0:00,3/7/2014 0:00,Standard,SP-107201,SP-K-2908,5,124.95,49.98,6.998
12154,2014-40970,3/2/2014 0:00,3/7/2014 0:00,Standard,SP-107201,AP-W-3162,1,14.99,4.497,2.5996
12163,2014-40972,3/4/2014 0:00,3/7/2014 0:00,2 Day,EB-101501,AP-M-4870,3,47.97,19.188,5.3579
12164,2014-40972,3/4/2014 0:00,3/7/2014 0:00,2 Day,EB-101501,SP-S-4217,2,51.98,25.99,5.6386
12165,2014-40972,3/4/2014 0:00,3/7/2014 0:00,2 Day,EB-101501,SP-B-5296,3,50.97,12.7425,5.5679
12166,2014-40972,3/4/2014 0:00,3/7/2014 0:00,2 Day,EB-101501,SP-K-2911,6,149.94,59.976,12.4958
12167,2014-40972,3/4/2014 0:00,3/7/2014 0:00,2 Day,EB-101501,SP-F-6129,2,39.98,11.994,4.7986
12168,2014-40974,3/6/2014 0:00,3/7/2014 0:00,First Class,CB-100151,FW-S-4421,1,11.99,5.995,2.5995
12169,2014-40974,3/6/2014 0:00,3/7/2014 0:00,First Class,CB-100151,SP-B-5296,3,50.97,12.7425,4.5485
12170,2014-40974,3/6/2014 0:00,3/7/2014 0:00,First Class,CB-100151,SP-T-3744,3,74.97,14.994,5.7485
12178,2014-40977,3/9/2014 0:00,3/13/2014 0:00,Standard,EW-202751,SP-S-4390,2,51.98,25.99,4.0792
